Close Date,Gain (%)
2025-09-25 09:54:00,-0.32
2025-09-25 10:53:00,-0.46
2025-10-01 11:17:00,-0.26
2025-10-01 14:28:00,0.75
2025-10-01 14:28:00,0.24
2025-10-03 10:20:00,-0.28
2025-10-03 10:20:00,-0.26
2025-10-03 13:18:00,-0.28
2025-10-06 12:00:00,0.18
2025-10-06 12:27:00,-0.12
2025-10-08 18:10:00,-0.25
2025-10-09 10:00:00,-0.22
2025-10-15 11:34:00,-0.25
2025-10-15 13:00:00,0.01
2025-10-16 17:33:00,-0.34
2025-10-17 10:22:00,-0.88
2025-10-17 11:55:00,-0.35
2025-10-20 13:05:00,0.0
2025-10-23 17:06:00,-0.35
2025-10-24 11:07:00,0.0
2025-10-28 16:20:00,0.0
2025-10-30 14:28:00,0.64
2025-10-30 15:07:00,1.0
2025-10-31 15:43:00,0.6
2025-11-04 14:08:00,0.45
2025-11-10 03:16:00,-0.05
2025-11-12 13:57:00,-0.31
2025-11-18 12:26:00,-0.33
2025-11-18 14:58:00,-0.01
2025-11-20 15:30:00,-0.38
2025-11-21 13:53:00,0.62
2025-11-24 16:03:00,-0.01
2025-11-25 12:19:00,-0.31
2025-12-01 14:48:00,0.55
2025-12-02 11:09:00,0.41
2025-12-04 09:30:00,-0.32
2025-12-08 11:30:00,-0.18
2025-12-08 16:15:00,-0.34
2025-12-11 16:05:00,0.6
2025-12-24 11:01:00,-0.02
2025-12-24 11:01:00,-0.03
2026-01-15 10:10:00,0.24
2026-01-16 17:37:00,-0.69
2026-01-19 12:13:00,-0.48
2026-01-21 10:01:00,-0.5
2026-01-22 13:13:00,-0.1
2026-01-22 17:42:00,1.2
2026-01-28 13:16:00,-0.67
2026-01-28 17:08:00,1.19
2026-02-05 17:28:00,-0.03
2026-02-06 13:17:00,0.61
2026-02-11 15:30:00,1.52
2026-02-12 13:53:00,1.06
2026-02-18 20:21:00,1.15
2026-02-19 11:43:00,-0.62
2026-02-25 14:27:00,0.02
